Date,Close,Open,High,Low,Volume,Change %
1/3/2024,"18,450.00","18,300.00","18,500.00","18,150.00",9.35M,1.10%
29/02/2024,"18,250.00","18,150.00","18,400.00","18,050.00",13.44M,1.11%
28/02/2024,"18,050.00","18,300.00","18,350.00","18,000.00",6.99M,-0.82%
27/02/2024,"18,200.00","18,000.00","18,300.00","17,800.00",11.25M,1.96%
26/02/2024,"17,850.00","18,100.00","18,150.00","17,650.00",9.10M,-1.65%
23/02/2024,"18,150.00","18,500.00","18,600.00","18,000.00",14.31M,-1.89%
22/02/2024,"18,500.00","18,850.00","18,850.00","18,500.00",7.65M,-1.33%
21/02/2024,"18,750.00","19,050.00","19,050.00","18,700.00",7.74M,-1.06%
20/02/2024,"18,950.00","18,900.00","19,100.00","18,700.00",14.05M,0.80%
19/02/2024,"18,800.00","19,050.00","19,050.00","18,700.00",7.34M,-0.79%
16/02/2024,"18,950.00","18,800.00","19,200.00","18,800.00",13.95M,1.34%
15/02/2024,"18,700.00","18,600.00","18,800.00","18,450.00",6.62M,1.63%
7/2/2024,"18,400.00","18,500.00","18,600.00","18,350.00",5.92M,-0.27%
6/2/2024,"18,450.00","18,450.00","18,700.00","18,400.00",5.62M,0.00%
5/2/2024,"18,450.00","18,500.00","18,700.00","18,250.00",8.44M,-0.54%
2/2/2024,"18,550.00","18,700.00","19,150.00","18,550.00",10.70M,-0.27%
1/2/2024,"18,600.00","18,500.00","18,650.00","18,450.00",4.88M,0.54%
31/01/2024,"18,500.00","18,900.00","18,950.00","18,500.00",10.37M,-1.33%
30/01/2024,"18,750.00","18,800.00","18,850.00","18,600.00",5.44M,0.00%
29/01/2024,"18,750.00","19,050.00","19,100.00","18,750.00",4.45M,-1.06%
26/01/2024,"18,950.00","18,900.00","19,150.00","18,800.00",5.66M,0.80%
25/01/2024,"18,800.00","18,800.00","18,950.00","18,700.00",8.00M,-0.53%
24/01/2024,"18,900.00","19,000.00","19,100.00","18,800.00",6.77M,-0.53%
23/01/2024,"19,000.00","19,300.00","19,350.00","18,900.00",4.49M,-1.04%
22/01/2024,"19,200.00","19,050.00","19,200.00","18,650.00",10.85M,1.32%
19/01/2024,"18,950.00","19,300.00","19,300.00","18,950.00",7.63M,-1.30%
18/01/2024,"19,200.00","19,150.00","19,300.00","18,900.00",12.06M,1.32%
17/01/2024,"18,950.00","19,000.00","19,200.00","18,800.00",7.15M,-0.26%
16/01/2024,"19,000.00","18,500.00","19,000.00","18,450.00",8.06M,2.15%
