Date,Close,Open,High,Low,Volume,Change %
1/3/2024,"9,160.00","9,170.00","9,170.00","9,070.00",470.60K,0.33%
29/02/2024,"9,130.00","9,200.00","9,200.00","9,070.00",544.10K,-0.76%
28/02/2024,"9,200.00","9,200.00","9,210.00","9,040.00",582.60K,0.00%
27/02/2024,"9,200.00","8,920.00","9,300.00","8,870.00",800.30K,2.68%
26/02/2024,"8,960.00","8,990.00","9,000.00","8,510.00",444.10K,-0.33%
23/02/2024,"8,990.00","9,180.00","9,180.00","8,980.00",688.00K,-2.07%
22/02/2024,"9,180.00","8,800.00","9,200.00","8,770.00",1.16M,4.79%
21/02/2024,"8,760.00","8,800.00","8,800.00","8,690.00",228.40K,-0.23%
20/02/2024,"8,780.00","8,800.00","8,840.00","8,710.00",421.70K,0.80%
19/02/2024,"8,710.00","8,800.00","8,800.00","8,620.00",359.90K,-1.14%
16/02/2024,"8,810.00","8,900.00","8,900.00","8,800.00",361.20K,0.11%
15/02/2024,"8,800.00","8,470.00","8,850.00","8,470.00",724.30K,4.76%
7/2/2024,"8,400.00","8,250.00","8,450.00","8,250.00",263.40K,0.48%
6/2/2024,"8,360.00","8,450.00","8,450.00","8,300.00",286.10K,0.60%
5/2/2024,"8,310.00","8,410.00","8,550.00","8,300.00",397.30K,-0.95%
2/2/2024,"8,390.00","8,700.00","8,700.00","8,360.00",1.03M,-3.56%
1/2/2024,"8,700.00","8,800.00","8,820.00","8,630.00",339.70K,0.00%
31/01/2024,"8,700.00","9,010.00","9,050.00","8,610.00",324.40K,-1.25%
30/01/2024,"8,810.00","8,500.00","8,990.00","8,500.00",762.60K,3.65%
29/01/2024,"8,500.00","9,030.00","9,120.00","8,500.00",1.23M,-6.08%
26/01/2024,"9,050.00","9,240.00","9,300.00","9,010.00",610.00K,-1.63%
25/01/2024,"9,200.00","9,250.00","9,300.00","9,200.00",379.30K,-0.97%
24/01/2024,"9,290.00","9,400.00","9,480.00","9,290.00",604.00K,-1.69%
23/01/2024,"9,450.00","9,670.00","9,670.00","9,380.00",398.20K,-0.53%
22/01/2024,"9,500.00","9,520.00","9,670.00","9,400.00",435.80K,0.00%
19/01/2024,"9,500.00","9,360.00","9,800.00","9,360.00",521.70K,2.04%
18/01/2024,"9,310.00","9,510.00","9,640.00","9,310.00",634.10K,-2.62%
17/01/2024,"9,560.00","9,630.00","9,650.00","9,510.00",447.10K,0.63%
16/01/2024,"9,500.00","9,500.00","9,650.00","9,340.00",495.00K,0.00%
15/01/2024,"9,500.00","9,510.00","9,740.00","9,500.00",306.80K,-0.11%
12/1/2024,"9,510.00","9,800.00","9,800.00","9,300.00",693.70K,-2.96%
11/1/2024,"9,800.00","9,660.00","9,900.00","9,660.00",451.60K,1.55%
10/1/2024,"9,650.00","9,990.00","10,000.00","9,500.00",1.09M,-3.40%
9/1/2024,"9,990.00","10,050.00","10,100.00","9,960.00",825.60K,-0.60%
8/1/2024,"10,050.00","10,100.00","10,200.00","9,980.00",1.03M,0.60%
5/1/2024,"9,990.00","10,100.00","10,150.00","9,970.00",1.05M,-1.09%
4/1/2024,"10,100.00","10,150.00","10,200.00","10,050.00",1.45M,-0.49%
3/1/2024,"10,150.00","10,250.00","10,250.00","10,050.00",669.60K,0.00%
2/1/2024,"10,150.00","10,200.00","10,550.00","9,980.00",984.40K,1.00%
29/12/2023,"10,050.00","10,000.00","10,450.00","10,000.00",4.69M,-6.51%
28/12/2023,"10,750.00","10,850.00","10,850.00","10,700.00",565.20K,-0.46%
27/12/2023,"10,800.00","10,800.00","10,950.00","10,750.00",724.20K,-0.46%
26/12/2023,"10,850.00","10,950.00","11,000.00","10,800.00",517.20K,0.46%
25/12/2023,"10,800.00","10,700.00","10,950.00","10,700.00",686.00K,0.00%
22/12/2023,"10,800.00","11,100.00","11,100.00","10,800.00",643.80K,-0.92%
21/12/2023,"10,900.00","10,900.00","11,100.00","10,800.00",371.10K,-0.46%
20/12/2023,"10,950.00","11,000.00","11,250.00","10,900.00",339.20K,-0.45%
19/12/2023,"11,000.00","11,000.00","11,200.00","10,700.00",641.00K,-0.45%
18/12/2023,"11,050.00","10,850.00","11,350.00","10,850.00",780.50K,1.84%
15/12/2023,"10,850.00","10,950.00","11,050.00","10,700.00",552.70K,-0.91%
14/12/2023,"10,950.00","11,000.00","11,150.00","10,750.00",652.50K,0.46%
13/12/2023,"10,900.00","11,200.00","11,400.00","10,800.00",926.00K,-2.24%
12/12/2023,"11,150.00","11,050.00","11,400.00","11,050.00",440.00K,1.36%
11/12/2023,"11,000.00","11,500.00","11,500.00","10,950.00",1.27M,-4.35%
8/12/2023,"11,500.00","11,750.00","11,900.00","11,350.00",914.00K,-2.13%
7/12/2023,"11,750.00","11,200.00","11,750.00","11,200.00",4.23M,6.82%
6/12/2023,"11,000.00","10,850.00","11,050.00","10,850.00",942.00K,1.38%
5/12/2023,"10,850.00","11,250.00","11,250.00","10,800.00",960.70K,-1.81%
4/12/2023,"11,050.00","10,800.00","11,250.00","10,800.00",1.06M,2.31%
1/12/2023,"10,800.00","10,400.00","11,000.00","10,400.00",2.43M,-3.14%
30/11/2023,"11,150.00","11,100.00","11,600.00","11,050.00",954.50K,-0.89%
29/11/2023,"11,250.00","11,350.00","11,350.00","11,000.00",511.80K,0.00%
28/11/2023,"11,250.00","10,800.00","11,250.00","10,600.00",693.50K,4.17%
27/11/2023,"10,800.00","11,300.00","11,300.00","10,700.00",837.50K,-3.14%
24/11/2023,"11,150.00","11,450.00","11,500.00","10,700.00",1.95M,-2.62%
23/11/2023,"11,450.00","12,300.00","12,450.00","11,450.00",1.62M,-6.91%
22/11/2023,"12,300.00","12,300.00","12,400.00","12,000.00",1.03M,-0.81%
21/11/2023,"12,400.00","12,350.00","12,400.00","11,800.00",1.67M,1.22%
20/11/2023,"12,250.00","12,000.00","12,400.00","11,600.00",1.63M,1.66%
17/11/2023,"12,050.00","11,500.00","12,050.00","11,350.00",4.92M,6.64%
16/11/2023,"11,300.00","11,050.00","11,300.00","10,950.00",723.80K,1.80%
15/11/2023,"11,100.00","11,700.00","11,700.00","11,000.00",1.10M,-0.89%
14/11/2023,"11,200.00","11,300.00","11,300.00","10,900.00",810.70K,1.82%
13/11/2023,"11,000.00","11,200.00","11,450.00","10,850.00",851.50K,-1.35%
10/11/2023,"11,150.00","11,150.00","11,500.00","10,950.00",1.58M,-1.76%
9/11/2023,"11,350.00","11,250.00","11,750.00","11,000.00",1.12M,2.71%
8/11/2023,"11,050.00","10,250.00","11,050.00","10,250.00",1.38M,6.76%
7/11/2023,"10,350.00","10,650.00","10,750.00","10,350.00",498.60K,-2.82%
6/11/2023,"10,650.00","10,600.00","10,850.00","10,500.00",594.10K,0.47%
3/11/2023,"10,600.00","10,850.00","10,850.00","10,350.00",967.20K,4.43%
2/11/2023,"10,150.00","9,800.00","10,150.00","9,800.00",399.50K,6.84%
1/11/2023,"9,500.00","9,500.00","9,870.00","9,010.00",482.20K,0.00%
31/10/2023,"9,500.00","10,150.00","10,250.00","9,500.00",950.30K,-5.00%
30/10/2023,"10,000.00","10,550.00","10,600.00","10,000.00",423.50K,-6.54%
27/10/2023,"10,700.00","10,800.00","10,900.00","9,900.00",955.10K,2.39%
26/10/2023,"10,450.00","10,600.00","10,800.00","10,450.00",854.30K,-6.70%
25/10/2023,"11,200.00","11,350.00","11,500.00","10,950.00",711.80K,-0.88%
24/10/2023,"11,300.00","11,450.00","11,450.00","10,750.00",665.00K,1.35%
23/10/2023,"11,150.00","11,100.00","11,200.00","10,850.00",888.10K,3.24%
20/10/2023,"10,800.00","10,150.00","10,800.00","10,000.00",747.80K,6.93%
19/10/2023,"10,100.00","10,050.00","10,350.00","9,700.00",626.30K,0.50%
18/10/2023,"10,050.00","10,500.00","10,700.00","9,900.00",985.20K,-4.29%
17/10/2023,"10,500.00","11,350.00","11,350.00","10,500.00",560.20K,-4.55%
16/10/2023,"11,000.00","11,250.00","11,600.00","11,000.00",577.50K,-5.17%
13/10/2023,"11,600.00","11,050.00","11,600.00","10,800.00",903.70K,0.43%
12/10/2023,"11,550.00","11,650.00","11,900.00","11,250.00",985.90K,1.76%
11/10/2023,"11,350.00","11,100.00","11,350.00","11,000.00",1.54M,6.57%
10/10/2023,"10,650.00","10,000.00","10,650.00","10,000.00",620.50K,6.61%
9/10/2023,"9,990.00","10,000.00","10,050.00","9,510.00",429.20K,0.91%
6/10/2023,"9,900.00","9,610.00","10,000.00","9,320.00",873.10K,-0.70%
