"Date","Close","Open","High","Low","Volume","Change %"
"31/05/2024","15,300.0","15,500.0","15,700.0","15,000.0","369.10K","0.00%"
"30/05/2024","15,300.0","15,000.0","15,800.0","14,600.0","765.20K","2.00%"
"29/05/2024","15,000.0","15,950.0","15,950.0","15,000.0","627.70K","-3.85%"
"28/05/2024","15,600.0","14,400.0","15,900.0","14,400.0","2.17M","0.97%"
"27/05/2024","15,450.0","15,450.0","15,650.0","15,450.0","1.17M","-6.93%"
"24/05/2024","16,600.0","16,800.0","17,050.0","16,000.0","881.50K","-1.19%"
"23/05/2024","16,800.0","16,400.0","17,350.0","16,050.0","1.42M","3.38%"
"22/05/2024","16,250.0","16,950.0","17,050.0","16,100.0","1.08M","-3.85%"
"21/05/2024","16,900.0","17,050.0","17,500.0","16,700.0","950.70K","2.11%"
"20/05/2024","16,550.0","16,000.0","16,550.0","15,500.0","1.19M","6.77%"
"17/05/2024","15,500.0","15,700.0","15,900.0","15,450.0","454.70K","-0.96%"
"16/05/2024","15,650.0","15,400.0","15,700.0","15,350.0","510.20K","1.95%"
"15/05/2024","15,350.0","15,400.0","15,800.0","15,250.0","558.10K","-0.32%"
"14/05/2024","15,400.0","14,700.0","15,800.0","14,700.0","559.60K","0.98%"
"13/05/2024","15,250.0","16,400.0","16,500.0","15,250.0","1.98M","-6.73%"
"10/05/2024","16,350.0","16,700.0","17,000.0","16,000.0","718.60K","-1.51%"
"09/05/2024","16,600.0","17,300.0","17,350.0","16,450.0","680.60K","-3.49%"
"08/05/2024","17,200.0","16,450.0","17,500.0","16,450.0","714.10K","1.78%"
"07/05/2024","16,900.0","17,500.0","17,500.0","16,450.0","1.98M","3.05%"
"06/05/2024","16,400.0","15,600.0","16,400.0","15,550.0","679.80K","6.84%"
"03/05/2024","15,350.0","16,100.0","16,200.0","15,300.0","977.40K","-4.66%"
"02/05/2024","16,100.0","15,000.0","16,250.0","14,500.0","1.46M","5.92%"
"26/04/2024","15,200.0","15,850.0","16,700.0","15,050.0","1.26M","-4.40%"
"25/04/2024","15,900.0","14,950.0","15,900.0","14,950.0","947.30K","6.71%"
"24/04/2024","14,900.0","15,000.0","15,450.0","14,450.0","3.12M","-3.87%"
"23/04/2024","15,500.0","15,500.0","16,650.0","15,500.0","2.39M","-6.91%"
"22/04/2024","16,650.0","18,800.0","18,800.0","16,650.0","1.56M","-6.72%"
