Date,Close,Open,High,Low,Volume,Change %
1/3/2024,"43,950","43,700","44,200","43,300",6.87M,1.27%
29/02/2024,"43,400","44,550","44,700","43,400",11.04M,-2.25%
28/02/2024,"44,400","44,450","44,900","44,000",6.28M,0.45%
27/02/2024,"44,200","43,750","44,200","43,300",7.16M,1.96%
26/02/2024,"43,350","43,450","43,850","43,100",7.00M,-0.23%
23/02/2024,"43,450","45,000","45,100","43,250",11.75M,-3.01%
22/02/2024,"44,800","45,100","45,450","44,800",6.81M,-0.44%
21/02/2024,"45,000","46,100","46,100","44,800",8.95M,-2.49%
20/02/2024,"46,150","46,000","46,700","45,850",12.93M,1.32%
19/02/2024,"45,550","43,000","45,650","42,900",20.16M,6.67%
16/02/2024,"42,700","42,150","42,800","41,950",6.02M,1.79%
15/02/2024,"41,950","42,150","42,200","41,800",4.32M,0.36%
7/2/2024,"41,800","41,050","41,850","41,000",3.77M,1.95%
6/2/2024,"41,000","41,400","41,450","41,000",5.54M,-0.61%
5/2/2024,"41,250","41,400","41,600","41,100",3.36M,0.12%
2/2/2024,"41,200","41,500","42,100","41,150",5.78M,0.00%
1/2/2024,"41,200","41,350","41,500","41,100",7.11M,-0.72%
31/01/2024,"41,500","42,050","42,250","41,500",6.31M,-1.19%
30/01/2024,"42,000","41,800","42,300","41,700",2.91M,0.48%
29/01/2024,"41,800","42,300","42,300","41,800",3.17M,-0.48%
26/01/2024,"42,000","42,200","42,500","42,000",4.35M,-0.24%
25/01/2024,"42,100","42,500","42,500","42,050",2.30M,-0.94%
24/01/2024,"42,500","42,350","42,950","42,300",2.74M,0.35%
23/01/2024,"42,350","43,050","43,200","42,300",5.26M,-1.51%
22/01/2024,"43,000","43,350","43,450","42,800",4.71M,-0.12%
19/01/2024,"43,050","43,350","43,600","43,000",5.53M,-0.35%
18/01/2024,"43,200","42,250","43,500","42,050",8.94M,3.10%
17/01/2024,"41,900","42,650","42,850","41,900",6.34M,-1.76%
16/01/2024,"42,650","41,600","42,650","41,450",3.77M,2.52%
15/01/2024,"41,600","41,800","41,850","41,400",3.15M,0.73%
12/1/2024,"41,300","41,800","41,900","40,900",8.33M,-1.67%
11/1/2024,"42,000","42,500","43,050","42,000",6.97M,-1.64%
10/1/2024,"42,700","43,000","43,000","42,100",6.79M,-0.70%
9/1/2024,"43,000","43,150","43,300","42,650",6.38M,-0.81%
8/1/2024,"43,350","43,200","43,850","42,900",6.21M,0.58%
5/1/2024,"43,100","43,450","43,550","43,050",4.51M,-0.81%
4/1/2024,"43,450","43,550","43,700","43,250",8.78M,0.12%
3/1/2024,"43,400","42,600","43,400","42,550",6.11M,0.93%
2/1/2024,"43,000","43,300","43,750","42,550",7.59M,-0.46%
29/12/2023,"43,200","44,050","44,100","43,200",5.32M,-1.14%
28/12/2023,"43,700","42,100","43,800","42,050",13.13M,4.30%
27/12/2023,"41,900","42,000","42,150","41,850",6.03M,0.00%
26/12/2023,"41,900","41,500","42,200","41,300",10.39M,1.70%
25/12/2023,"41,200","40,300","41,250","40,300",5.96M,2.23%
22/12/2023,"40,300","40,200","40,400","40,000",3.29M,0.25%
21/12/2023,"40,200","39,700","40,450","39,650",3.56M,0.63%
20/12/2023,"39,950","39,850","39,950","39,500",2.36M,1.14%
19/12/2023,"39,500","39,900","39,950","39,300",5.23M,-1.00%
18/12/2023,"39,900","40,200","40,200","39,850",3.56M,0.00%
15/12/2023,"39,900","40,450","40,550","39,850",6.80M,-0.99%
14/12/2023,"40,300","41,100","41,250","40,250",4.70M,-1.10%
13/12/2023,"40,750","41,200","41,650","40,650",9.94M,-0.73%
12/12/2023,"41,050","41,000","41,300","40,750",6.17M,0.12%
11/12/2023,"41,000","40,150","41,300","40,100",8.70M,3.40%
8/12/2023,"39,650","39,700","40,100","39,450",9.89M,-0.13%
7/12/2023,"39,700","40,450","40,550","39,400",11.34M,-1.85%
6/12/2023,"40,450","40,500","40,550","39,650",10.85M,-0.12%
5/12/2023,"40,500","41,500","41,500","40,500",8.30M,-1.94%
4/12/2023,"41,300","40,950","41,500","40,850",8.14M,0.98%
1/12/2023,"40,900","41,300","41,400","40,400",6.97M,-0.97%
30/11/2023,"41,300","41,200","41,350","40,600",7.74M,0.24%
29/11/2023,"41,200","41,050","41,300","40,750",4.21M,1.10%
28/11/2023,"40,750","39,800","40,750","39,650",7.38M,2.39%
27/11/2023,"39,800","39,100","40,000","39,100",5.71M,1.79%
24/11/2023,"39,100","39,000","39,200","38,050",7.38M,0.26%
23/11/2023,"39,000","39,350","39,950","39,000",7.66M,0.00%
22/11/2023,"39,000","39,400","39,600","38,850",4.81M,-0.26%
21/11/2023,"39,100","39,750","39,750","38,900",4.79M,0.39%
20/11/2023,"38,950","38,500","39,500","38,300",4.90M,0.00%
17/11/2023,"38,950","41,300","41,750","38,500",16.31M,-5.35%
16/11/2023,"41,150","41,400","41,650","40,800",5.39M,-0.72%
15/11/2023,"41,450","41,800","42,600","41,350",8.59M,1.10%
14/11/2023,"41,000","41,850","41,900","40,750",7.50M,-0.85%
13/11/2023,"41,350","42,600","42,600","41,300",7.23M,-2.25%
10/11/2023,"42,300","42,500","43,200","42,300",6.52M,-1.40%
9/11/2023,"42,900","41,600","43,050","41,450",15.46M,4.63%
8/11/2023,"41,000","39,950","41,500","39,200",7.70M,2.50%
7/11/2023,"40,000","40,900","40,950","40,000",4.44M,-2.44%
6/11/2023,"41,000","40,650","41,400","40,600",6.34M,1.23%
3/11/2023,"40,500","40,450","40,550","39,950",8.27M,1.38%
2/11/2023,"39,950","38,450","40,000","37,700",9.14M,3.90%
1/11/2023,"38,450","38,900","39,000","36,750",9.75M,-1.41%
31/10/2023,"39,000","39,200","39,700","38,000",7.71M,-0.51%
30/10/2023,"39,200","39,000","40,000","37,750",6.76M,0.00%
27/10/2023,"39,200","40,000","41,500","38,900",18.17M,-6.22%
26/10/2023,"41,800","41,800","41,800","41,800",6.09M,-6.90%
25/10/2023,"44,900","45,400","45,950","44,750",3.92M,0.67%
24/10/2023,"44,600","44,900","45,000","44,000",3.18M,0.22%
23/10/2023,"44,500","44,500","45,300","44,000",5.69M,0.00%
20/10/2023,"44,500","42,500","44,800","41,700",3.19M,4.71%
19/10/2023,"42,500","43,450","43,450","42,500",3.73M,-1.85%
18/10/2023,"43,300","44,600","45,800","43,000",3.86M,-2.70%
17/10/2023,"44,500","45,600","45,900","44,500",2.40M,-2.31%
16/10/2023,"45,550","46,900","47,000","45,550",3.27M,-2.88%
13/10/2023,"46,900","47,050","47,200","46,500",2.58M,-1.37%
12/10/2023,"47,550","47,600","48,000","47,350",2.45M,0.32%
11/10/2023,"47,400","47,700","47,800","46,850",2.92M,-1.25%
10/10/2023,"48,000","47,150","48,000","46,900",4.83M,2.13%
9/10/2023,"47,000","46,100","47,500","46,050",3.86M,2.06%
6/10/2023,"46,050","44,850","46,150","44,550",3.43M,3.37%
5/10/2023,"44,550","44,700","45,250","44,250",2.70M,-0.11%
4/10/2023,"44,600","43,250","45,400","43,250",3.47M,1.25%
3/10/2023,"44,050","45,000","45,250","44,050",4.66M,-3.72%
2/10/2023,"45,750","45,600","46,200","45,200",1.82M,0.55%
29/09/2023,"45,500","45,000","47,500","45,000",7.29M,2.25%
28/09/2023,"44,500","45,100","45,500","44,050",3.41M,-1.33%
27/09/2023,"45,100","45,000","45,800","43,850",6.50M,0.22%
26/09/2023,"45,000","47,000","47,800","45,000",4.07M,-4.26%
25/09/2023,"47,000","48,000","48,750","46,000",5.32M,-2.08%
22/09/2023,"48,000","49,400","49,450","47,850",7.96M,-4.38%
21/09/2023,"50,200","51,000","51,400","50,000",5.19M,-0.99%
20/09/2023,"50,700","49,700","50,900","49,500",4.52M,2.74%
19/09/2023,"49,350","50,000","50,700","49,000",7.52M,0.82%
18/09/2023,"48,950","50,100","50,500","48,700",5.10M,-3.07%
15/09/2023,"50,500","49,600","50,500","49,400",10.52M,3.06%
14/09/2023,"49,000","52,100","52,300","49,000",11.64M,-5.95%
13/09/2023,"52,100","53,800","53,800","52,100",11.95M,-2.62%
12/9/2023,"53,500","52,800","53,500","52,000",7.42M,1.90%
11/9/2023,"52,500","54,600","54,900","52,500",8.47M,-2.78%
8/9/2023,"54,000","55,000","55,500","54,000",10.43M,-2.00%
7/9/2023,"55,100","56,500","56,600","54,900",8.73M,-1.43%
6/9/2023,"55,900","55,500","57,000","55,400",9.77M,1.08%
5/9/2023,"55,300","55,200","55,500","54,400",9.06M,1.10%
31/08/2023,"54,700","54,800","55,900","54,700",6.42M,0.18%
30/08/2023,"54,600","54,600","55,100","54,100",5.03M,0.00%
