Date,Close,Open,High,Low,Volume,Change %
2019-03-01,"17,057.8","16,750.2","17,057.8","16,750.2",1.27M,1.84%
2019-03-04,"17,809.9","17,228.8","17,878.3","17,092.0",5.54M,4.41%
2019-03-05,"17,502.2","17,775.7","17,912.4","17,365.5",3.49M,-1.73%
2019-03-06,"17,673.2","17,502.2","17,741.5","17,365.5",1.64M,0.98%
2019-03-07,"17,092.0","17,912.4","17,912.4","17,092.0",3.84M,-3.29%
2019-03-08,"16,510.9","16,818.6","17,023.7","16,510.9",4.00M,-3.40%
2019-03-11,"16,921.1","16,545.1","16,989.5","16,510.9",1.58M,2.48%
2019-03-12,"16,886.9","17,194.6","17,262.9","16,750.2",1.67M,-0.20%
2019-03-13,"16,750.2","16,955.3","17,057.8","16,750.2",1.51M,-0.81%
2019-03-14,"16,818.6","16,750.2","16,886.9","16,647.6",1.35M,0.41%
2019-03-15,"16,545.1","16,818.6","16,852.7","16,476.7",2.32M,-1.63%
2019-03-18,"16,613.5","16,613.5","16,886.9","16,510.9",1.71M,0.41%
2019-03-19,"16,066.5","16,681.8","16,784.4","16,066.5",3.84M,-3.29%
2019-03-20,"16,032.3","15,998.1","16,203.2","15,929.8",1.58M,-0.21%
2019-03-21,"15,382.8","16,066.5","16,169.1","15,382.8",2.52M,-4.05%
2019-03-22,"15,519.6","15,587.9","15,656.3","15,280.3",2.84M,0.89%
2019-03-25,"14,733.3","15,041.0","15,348.6","14,699.1",2.68M,-5.07%
2019-03-26,"14,938.4","14,904.2","15,041.0","14,733.3",1.19M,1.39%
2019-03-27,"15,382.8","15,109.4","15,417.0","15,041.0",1.17M,2.97%
2019-03-28,"15,382.8","15,314.5","15,485.4","15,109.4",995.16K,0.00%
2019-03-29,"15,246.1","15,485.4","15,519.6","15,246.1",732.36K,-0.89%
2019-04-01,"15,348.6","15,382.8","15,451.2","15,280.3",795.47K,0.67%
2019-04-02,"15,280.3","15,485.4","15,553.7","15,246.1",804.95K,-0.44%
2019-04-03,"15,314.5","15,280.3","15,451.2","15,280.3",1.19M,0.22%
2019-04-04,"15,417.0","15,451.2","15,553.7","15,314.5",1.07M,0.67%
2019-04-05,"15,929.8","15,451.2","16,066.5","15,417.0",1.84M,3.33%
2019-04-08,"15,827.2","16,066.5","16,066.5","15,724.7",875.80K,-0.64%
2019-04-09,"15,519.6","15,827.2","15,929.8","15,485.4",1.15M,-1.94%
2019-04-10,"15,246.1","15,246.1","15,485.4","15,211.9",1.32M,-1.76%
2019-04-11,"15,348.6","15,246.1","15,451.2","15,211.9",1.08M,0.67%
2019-04-12,"15,382.8","15,382.8","15,485.4","15,314.5",647.04K,0.22%
2019-04-16,"15,177.7","15,246.1","15,314.5","14,938.4",999.47K,-1.33%
2019-04-17,"15,041.0","15,246.1","15,348.6","15,041.0",964.21K,-0.90%
2019-04-18,"14,425.7","15,041.0","15,075.2","14,425.7",1.23M,-4.09%
2019-04-19,"15,041.0","14,665.0","15,177.7","14,357.3",1.88M,4.27%
2019-04-22,"14,938.4","14,972.6","15,075.2","14,767.5",2.39M,-0.68%
2019-04-23,"14,630.8","14,733.3","14,938.4","14,596.6",1.13M,-2.06%
